LIGA;TEMPORADA;JOGADOR;SIGLA_EQUIPE;QTD_JOGOS ;MINUTOS JOGADOS;CESTAS DE 3 PONTOS;QTD LANCES LIVRES;FALTAS PESSOAIS;REBORTES;ASSISTÊNCIAS;ROUBADAS DE BOLAS;BLOQUEIOS;PONTOS;ALTURA (CM);PESO (KG);NACIONALIDADE
Brazilian-NBB;2019 - 2020;Shammell Stallworth;SPFC;26;966.4;80;67;54;92;99;23;1;489;196;91;United States
Brazilian-NBB;2019 - 2020;Leonardo Meindl;SPFC;26;867.9;45;90;87;187;85;31;4;465;201;91;Brazil
Brazilian-NBB;2019 - 2020;Nate Barnes;FAC;27;805.5;64;60;64;57;112;18;2;446;183;84;United States
Brazilian-NBB;2019 - 2020;Leandro Barbosa;MIN;22;701.5;39;93;55;93;108;29;4;442;191;88;Brazil
Brazilian-NBB;2019 - 2020;Betinho Duarte;PIN;27;746.4;53;115;73;99;93;25;5;434;196;92;Brazil
Brazilian-NBB;2019 - 2020;Danilo Siqueira;MOG;24;826.2;33;114;66;104;56;27;12;429;193;80;Brazil
Brazilian-NBB;2019 - 2020;Mooch Jackson;FRA;25;795.2;48;106;37;114;79;25;12;428;185;94;United States
Brazilian-NBB;2019 - 2020;Alex Garcia;MIN;26;832.5;55;66;70;139;118;36;5;423;188;100;Brazil
Brazilian-NBB;2019 - 2020;Rafael Mineiro;SAO;25;704.5;19;57;65;128;45;27;2;406;213;107;Brazil
Brazilian-NBB;2019 - 2020;Lucas Mariano;BOT;26;668.4;51;58;65;124;23;11;20;405;208;122;Brazil
Brazilian-NBB;2019 - 2020;George de Paula;SPFC;26;985.6;48;104;58;227;194;34;21;402;198;88;Brazil
Brazilian-NBB;2019 - 2020;Yago Dos Santos;PAU;25;793.8;64;111;55;75;136;26;1;401;178;85;Brazil
Brazilian-NBB;2019 - 2020;Marquinhos Vinicius;FLA;23;648.2;59;92;38;102;68;22;5;397;206;102;Brazil
Brazilian-NBB;2019 - 2020;Lucas Dias;FRA;25;793.8;45;98;57;131;55;22;18;387;208;100;Brazil
Brazilian-NBB;2019 - 2020;Andre Bresolin;MOG;26;852.2;57;72;73;148;97;51;5;385;196;;Brazil
Brazilian-NBB;2019 - 2020;Corderro Bennett;PIN;26;823,0;24;50;62;80;100;32;1;384;183;83;United States
Brazilian-NBB;2019 - 2020;Nick Wiggins;BAU;23;718.1;29;107;43;112;35;19;7;374;198;87;Canada
Brazilian-NBB;2019 - 2020;Lucas Faggiano;BAU;26;879,0;31;83;54;74;142;47;2;372;188;84;Argentina
Brazilian-NBB;2019 - 2020;Devon Scott;MIN;26;705.1;2;102;71;203;56;22;21;372;206;98;United States
Brazilian-NBB;2019 - 2020;Kyle Fuller;CORI;26;686.1;49;58;45;43;66;21;0;351;185;91;United States
Brazilian-NBB;2019 - 2020;Ricardo Fischer;CORI;24;600,0;50;52;56;60;111;15;3;350;185;82;Brazil
Brazilian-NBB;2019 - 2020;Gelvis Solano;PAU;25;771.2;44;54;75;132;137;41;7;348;185;82;United States / Dominican Republic
Brazilian-NBB;2019 - 2020;Gerson Santo;RIO;26;723.6;0;45;72;163;36;17;4;347;206;108;Brazil
Brazilian-NBB;2019 - 2020;Walter Baxley;RIO;26;628.5;27;106;63;52;38;15;5;343;193;90;United States
Brazilian-NBB;2019 - 2020;Arthur Silva;BRA;23;651.4;31;52;62;89;36;20;4;333;196;95;Brazil
Brazilian-NBB;2019 - 2020;Dontrell Brite;CEA;26;675,0;31;48;77;74;97;50;1;331;175;79;United States
Brazilian-NBB;2019 - 2020;Diego Figueredo;SAO;25;789.5;48;45;53;74;138;23;0;327;185;;Argentina
Brazilian-NBB;2019 - 2020;David Nesbitt;CORI;26;688.2;26;72;86;168;45;26;8;324;201;93;Bahamas
Brazilian-NBB;2019 - 2020;Nezinho Dos Santos;BRA;25;782.6;39;97;79;82;165;35;2;322;185;73;Brazil
Brazilian-NBB;2019 - 2020;Enzo Ruiz;RIO;24;705.5;70;62;75;69;55;25;4;322;193;88;Argentina
Brazilian-NBB;2019 - 2020;Luis Gustavo;PATO;24;711.8;36;56;65;74;52;19;0;318;191;;Brazil
Brazilian-NBB;2019 - 2020;Jamaal Smith;BOT;23;709,0;57;66;71;70;109;15;2;317;175;79;United States
Brazilian-NBB;2019 - 2020;Rafael Hettsheimer;FRA;23;570,0;28;77;51;118;29;11;9;311;208;120;Brazil
Brazilian-NBB;2019 - 2020;Renan Lenz;SPFC;25;756.3;48;28;78;143;36;16;29;308;206;100;Brazil
Brazilian-NBB;2019 - 2020;Douglas Nunes;FAC;27;730,0;40;38;56;168;57;18;15;308;208;90;Brazil
Brazilian-NBB;2019 - 2020;Rafael Moreira;BRA;26;717.3;64;32;89;93;27;15;1;304;201;;Brazil
Brazilian-NBB;2019 - 2020;Rashaun McLemore;CEA;24;680.5;37;56;57;79;46;24;0;299;193;86;United States
Brazilian-NBB;2019 - 2020;Ronald Reis;BRA;25;730.7;3;74;63;185;29;13;21;291;211;105;Brazil
Brazilian-NBB;2019 - 2020;Fulvio de Assis;MOG;22;665.3;52;74;47;77;135;18;0;288;188;81;Italy / Brazil
Brazilian-NBB;2019 - 2020;Guido Mariani;SAO;27;714.6;46;62;37;71;65;18;1;284;193;;Argentina
Brazilian-NBB;2019 - 2020;Jefferson William;SPFC;25;688.9;61;27;53;152;37;15;8;280;208;;Brazil
Brazilian-NBB;2019 - 2020;Joao Dos Santos;FAC;27;508.6;6;56;63;188;17;13;40;276;213;;Brazil
Brazilian-NBB;2019 - 2020;Duda Machado;SAO;27;682.3;51;52;63;86;102;30;5;269;191;88;Brazil
Brazilian-NBB;2019 - 2020;Art Bernardi;BOT;24;613.5;38;35;63;105;39;13;5;269;206;102;Brazil
Brazilian-NBB;2019 - 2020;Caio Torres;PIN;27;528.3;30;27;57;109;24;18;5;265;211;125;Brazil
Brazilian-NBB;2019 - 2020;Nehemias Morillo;SAO;13;394.5;28;49;30;71;39;15;0;261;196;79;Dominican Republic
Brazilian-NBB;2019 - 2020;Zach Graham;FLA;24;572,0;37;44;30;57;30;20;4;261;198;95;United States
Brazilian-NBB;2019 - 2020;Luiz dos Santos;SAO;27;634.1;0;40;88;118;51;22;8;260;203;110;Brazil
Brazilian-NBB;2019 - 2020;Fabian Oscar Sahdi;RIO;22;570.7;37;103;50;52;140;17;0;260;185;;Argentina
Brazilian-NBB;2019 - 2020;Dikembe Andre;PAU;25;588.5;0;37;62;195;19;15;8;257;206;111;Brazil
Brazilian-NBB;2019 - 2020;Dominique Coleman;PAU;23;558.9;48;33;54;69;21;14;1;253;193;91;United States
Brazilian-NBB;2019 - 2020;Leonardo Demetrio;FLA;24;466.6;25;34;54;113;17;8;14;249;203;90;Brazil
Brazilian-NBB;2019 - 2020;Olivinha Rodriguez;FLA;22;492.8;29;43;36;138;23;21;4;248;203;118;Brazil
Brazilian-NBB;2019 - 2020;Alex Oliveira;CEA;24;657.7;36;38;58;70;30;10;1;248;196;103;Brazil
Brazilian-NBB;2019 - 2020;Ralfi Ansaloni;RIO;26;530,0;20;54;78;151;30;9;8;246;213;100;Brazil
Brazilian-NBB;2019 - 2020;Guilherme Pereira;MIN;24;599.2;43;23;61;94;36;30;4;246;191;;Brazil
Brazilian-NBB;2019 - 2020;Renato Carbonari;BAU;23;630.6;17;30;51;128;35;18;1;245;206;114;Brazil
Brazilian-NBB;2019 - 2020;Brandon Davis;CEA;25;583.9;55;32;38;54;28;21;2;243;198;86;United States
Brazilian-NBB;2019 - 2020;Kenny Dawkins;PIN;24;701,0;50;38;52;87;87;33;1;240;175;70;United States
Brazilian-NBB;2019 - 2020;Tyrone Curnell;MIN;23;641.5;21;45;68;111;36;22;11;240;203;98;United States
Brazilian-NBB;2019 - 2020;Malcolm Miller;FAC;23;549.1;39;26;50;71;34;12;3;237;198;91;United States
Brazilian-NBB;2019 - 2020;Henrique Coelho;BOT;20;600.4;31;57;70;61;93;26;1;234;183;80;Brazil
Brazilian-NBB;2019 - 2020;Tracy Robinson;CORI;26;585,0;25;36;64;81;36;8;6;233;201;86;United States
Brazilian-NBB;2019 - 2020;Alexandre Paranhos;MOG;23;514.2;0;43;58;167;11;16;11;229;203;109;Brazil
Brazilian-NBB;2019 - 2020;Carlos Schattmann;FRA;24;464.4;35;31;52;62;36;11;0;228;191;86;Argentina
Brazilian-NBB;2019 - 2020;Luis Gruber;MOG;14;429.6;23;43;41;68;21;18;17;226;206;;Brazil / Italy
Brazilian-NBB;2019 - 2020;Victor da Silva;PAU;25;577.9;32;13;71;94;25;11;6;225;203;95;Brazil
Brazilian-NBB;2019 - 2020;Rafael Mineiro;FLA;24;562.6;16;40;51;97;31;14;5;224;206;102;Brazil
Brazilian-NBB;2019 - 2020;Paulo Da Costa;PATO;25;537.9;20;32;45;65;25;16;8;224;191;;Brazil
Brazilian-NBB;2019 - 2020;Marcao Vinicius;CEA;23;556.7;9;58;72;101;30;6;14;223;206;102;Brazil
Brazilian-NBB;2019 - 2020;Marcus Vinicius Toledo;PIN;24;605.9;0;56;57;123;40;30;5;220;201;103;Spain / Brazil
Brazilian-NBB;2019 - 2020;Gemerson Barbosa;FAC;25;534.2;21;50;55;126;28;14;1;219;201;96;Brazil
Brazilian-NBB;2019 - 2020;Vinicius Pastor;RIO;26;593,0;22;19;72;125;31;15;4;215;201;104;Brazil
Brazilian-NBB;2019 - 2020;Chris Ware;PIN;27;573.9;36;15;66;113;27;9;5;211;203;125;United States
Brazilian-NBB;2019 - 2020;Luciano Parodi Gonzalez;FRA;20;448.9;40;16;46;61;80;22;2;210;183;82;Uruguay
Brazilian-NBB;2019 - 2020;Sualisson Da Silva;CEA;23;592,0;5;25;78;133;19;28;21;208;201;94;Brazil
Brazilian-NBB;2019 - 2020;Charles Funches;PATO;25;590,0;2;81;64;141;22;18;23;201;203;95;United States
Brazilian-NBB;2019 - 2020;Daviyon Draper;BAU;13;343.4;21;21;49;59;10;13;6;200;201;98;United States
Brazilian-NBB;2019 - 2020;Franco Balbi;FLA;24;686.8;21;46;52;93;177;36;2;199;185;84;Argentina
Brazilian-NBB;2019 - 2020;Kevin Crescenzi;BAU;26;635.3;38;27;59;76;45;29;3;197;191;88;United States
Brazilian-NBB;2019 - 2020;Fabricio Russo;MOG;22;660.6;49;16;42;110;28;20;1;195;196;;Brazil
Brazilian-NBB;2019 - 2020;Maique Tavares;PAU;25;490.8;7;25;64;129;14;10;16;190;211;95;Brazil
Brazilian-NBB;2019 - 2020;Gabriel Galvanini;BAU;26;543.1;11;23;84;129;31;18;8;188;203;98;Brazil
Brazilian-NBB;2019 - 2020;Felipe Vezaro;CORI;26;500.2;45;18;40;74;27;15;2;187;193;85;Brazil
Brazilian-NBB;2019 - 2020;Guilherme Santos;BRA;17;439.7;15;42;40;72;25;14;2;187;191;102;Brazil
Brazilian-NBB;2019 - 2020;Augusto Leao;PATO;25;396.8;37;19;64;40;42;13;2;184;185;82;Brazil
Brazilian-NBB;2019 - 2020;Eddy Carvalho;PAU;25;594,0;46;6;53;86;27;13;4;184;196;90;Brazil
Brazilian-NBB;2019 - 2020;Caue dos Santos;BOT;19;606.8;17;42;43;81;71;20;2;183;180;78;Brazil
Brazilian-NBB;2019 - 2020;Davi De Oliveira;MIN;23;640.5;35;24;61;56;65;20;0;181;178;82;Brazil
Brazilian-NBB;2019 - 2020;Bruno Fiorotto;BRA;25;524,0;2;26;49;136;37;25;9;178;208;103;Brazil
Brazilian-NBB;2019 - 2020;Arthur Pecos;CORI;26;485.1;24;28;28;77;74;17;0;178;175;70;Brazil
Brazilian-NBB;2019 - 2020;Gege Chaia;PATO;25;728.8;38;27;53;87;178;56;0;175;191;76;Brazil
Brazilian-NBB;2019 - 2020;Agustin Ambrosino;SAO;26;355.2;23;18;48;65;24;6;5;173;203;102;Argentina / Italy
Brazilian-NBB;2019 - 2020;Jimmy de Oliveira;FRA;25;612.7;23;12;53;76;40;17;0;173;191;84;Brazil
Brazilian-NBB;2019 - 2020;Wesley Ferreira;CORI;26;501.2;9;25;62;93;34;34;8;172;201;100;Brazil
Brazilian-NBB;2019 - 2020;Isaac Thornton;PATO;12;355.5;15;30;25;51;21;7;0;169;191;82;United States
Brazilian-NBB;2019 - 2020;Pedro Wellausen;BRA;26;608.4;22;47;48;69;64;27;3;165;203;95;Brazil
Brazilian-NBB;2019 - 2020;Luis Sacco;FAC;25;414,0;32;27;48;34;24;14;0;163;183;;Brazil
Brazilian-NBB;2019 - 2020;Lucas Pereira;PIN;27;393.2;3;30;56;105;18;10;15;161;203;108;Brazil
Brazilian-NBB;2019 - 2020;Caue de Freitas;CEA;26;572.2;26;15;78;96;65;24;7;157;193;90;Brazil
Brazilian-NBB;2019 - 2020;Eduardo Sommer;BOT;22;506.3;11;35;76;84;24;16;11;152;203;92;Brazil
Brazilian-NBB;2019 - 2020;Elinho Neto;FRA;25;668.7;28;19;58;89;128;26;2;149;193;87;Brazil
Brazilian-NBB;2019 - 2020;Deryk Ramos;FLA;24;442.2;30;15;49;29;65;23;1;147;185;84;Brazil
Brazilian-NBB;2019 - 2020;Santiago Vidal;FAC;23;629.5;24;18;44;99;175;47;0;144;180;75;Uruguay
Brazilian-NBB;2019 - 2020;Antonio Ferreira;FAC;26;391.1;15;21;43;65;21;15;4;142;196;84;Brazil
Brazilian-NBB;2019 - 2020;Jeremiah Massey;BAU;11;325.4;23;20;26;88;21;21;5;139;203;100;United States / North Macedonia
Brazilian-NBB;2019 - 2020;Pedro Lima;RIO;21;379.4;15;39;39;39;36;4;0;138;191;94;Brazil
Brazilian-NBB;2019 - 2020;Jonas Matheus Buffat;PIN;27;542.6;18;15;65;84;34;19;5;137;191;91;Brazil
Brazilian-NBB;2019 - 2020;Gabriel De Oliveira;FAC;24;364,0;18;22;53;31;11;10;2;136;203;;Brazil
Brazilian-NBB;2019 - 2020;Diego Conceicao;BOT;26;389.4;15;27;60;71;16;17;5;136;201;93;Brazil
Brazilian-NBB;2019 - 2020;Anthony Johnson;CORI;25;311.9;0;18;59;91;14;12;10;120;203;111;United States
Brazilian-NBB;2019 - 2020;Leonardo Joanes Eltink;SAO;27;482.6;11;12;47;78;41;22;8;119;185;81;Brazil
Brazilian-NBB;2019 - 2020;Murilo Becker;SPFC;21;304.7;3;40;48;70;15;5;6;119;211;113;Brazil
Brazilian-NBB;2019 - 2020;Paulinho Boracini;BOT;25;317.6;23;15;31;28;38;6;0;118;183;80;Brazil / Italy
Brazilian-NBB;2019 - 2020;Lucas Brito de Campos;BAU;26;287.6;10;29;43;20;22;16;1;117;188;81;Brazil
Brazilian-NBB;2019 - 2020;Anderson Rodrigues;PATO;25;318.2;0;39;63;73;6;11;7;113;206;105;Brazil
Brazilian-NBB;2019 - 2020;Freddie McSwain;BOT;22;328.2;13;23;47;79;15;13;6;112;198;102;United States
Brazilian-NBB;2019 - 2020;Jhonatan dos Santos;FLA;22;403.4;19;16;52;45;21;12;0;111;196;90;Brazil
Brazilian-NBB;2019 - 2020;Sergio Sillas da Conceicao;SAO;27;380.6;0;23;82;78;12;14;19;111;208;96;Brazil
Brazilian-NBB;2019 - 2020;Thiago Mathias;CEA;26;433.1;1;16;62;113;13;10;9;109;206;115;Brazil
Brazilian-NBB;2019 - 2020;Dikembe Dixson;FAC;13;243.8;6;32;26;33;2;13;4;108;201;91;United States
Brazilian-NBB;2019 - 2020;Humberto Gomes;CORI;20;409.2;9;33;57;61;28;15;2;108;196;82;Brazil
Brazilian-NBB;2019 - 2020;Wesley Alves;BOT;24;442.4;12;20;52;84;18;13;7;106;201;86;Brazil
Brazilian-NBB;2019 - 2020;Lucas Alves;FRA;13;223.8;13;21;27;44;12;5;7;106;201;80;Brazil
Brazilian-NBB;2019 - 2020;Andre Coimbra;PATO;21;348.8;0;8;63;78;13;10;4;106;206;101;Brazil
Brazilian-NBB;2019 - 2020;Guilherme Abreu;FRA;25;250.8;10;20;44;59;12;4;5;106;198;84;Brazil
Brazilian-NBB;2019 - 2020;Eloy Vargas;FLA;14;221.3;0;30;33;66;6;7;7;104;211;111;Dominican Republic
Brazilian-NBB;2019 - 2020;Shilton Santos;MIN;22;365.7;0;30;61;87;9;8;1;104;198;105;Brazil
Brazilian-NBB;2019 - 2020;Larry Taylor;BAU;11;260.4;15;16;20;37;21;12;0;101;185;88;United States / Brazil
Brazilian-NBB;2019 - 2020;Samuel Cezar Ferreira Dos Santos;BAU;26;411.4;7;11;49;55;26;19;0;98;185;92;Brazil
Brazilian-NBB;2019 - 2020;Felipe Ruivo;PAU;22;382.6;20;9;30;42;59;10;0;97;191;;Brazil
Brazilian-NBB;2019 - 2020;Juan Pablo Figueroa;RIO;16;378.3;14;16;55;40;78;10;0;96;185;84;Argentina
Brazilian-NBB;2019 - 2020;Matheus Silva;SAO;25;227.1;4;27;59;33;27;17;0;93;191;;Brazil
Brazilian-NBB;2019 - 2020;Douglas Kurtz;SPFC;21;240.9;0;15;37;59;8;2;2;93;213;120;Brazil
Brazilian-NBB;2019 - 2020;Lucas Santana;MOG;17;218.9;17;19;18;19;20;6;1;92;180;;Brazil
Brazilian-NBB;2019 - 2020;Paulo Henrique Scheuer;PATO;25;339.2;0;15;46;48;12;7;2;91;206;96;Brazil
Brazilian-NBB;2019 - 2020;Brent Jackson;MIN;19;232.4;17;10;41;25;8;6;2;89;193;91;United States
Brazilian-NBB;2019 - 2020;Dominic Phillips;PATO;10;196.9;5;21;14;17;22;11;0;88;180;84;United States
Brazilian-NBB;2019 - 2020;Jalen Jones;SPFC;23;271.5;11;17;28;36;17;5;3;86;188;95;United States
Brazilian-NBB;2019 - 2020;Guilherme Lessa;MOG;26;337.7;6;8;48;35;17;16;1;82;178;79;Brazil
Brazilian-NBB;2019 - 2020;Lucao Moraes;RIO;25;266.5;0;26;57;59;8;4;3;78;208;95;Brazil
Brazilian-NBB;2019 - 2020;Gustavo de Paula;PIN;27;351.9;13;7;38;30;21;9;2;70;193;90;Brazil
Brazilian-NBB;2019 - 2020;Guilherme Teichmann;CORI;15;226.1;0;8;35;61;24;23;10;66;206;93;Brazil
Brazilian-NBB;2019 - 2020;Alexei Patricio;MIN;26;263.1;5;19;58;35;16;5;1;60;193;85;Brazil
Brazilian-NBB;2019 - 2020;Guilherme do Carmo;BRA;22;237.8;6;10;23;21;7;10;2;60;196;81;Brazil
Brazilian-NBB;2019 - 2020;Guilherme Hubner;FRA;11;122.7;1;13;27;27;3;4;4;56;208;;Brazil
Brazilian-NBB;2019 - 2020;Marcelo Ruediger;BRA;17;135.2;0;9;20;42;3;1;1;55;208;118;Brazil
Brazilian-NBB;2019 - 2020;Douglas Santos;CORI;24;166.4;0;16;34;22;4;6;4;52;201;95;Brazil
Brazilian-NBB;2019 - 2020;Leron Black;MIN;12;109.2;7;3;19;23;4;2;2;48;201;100;United States
Brazilian-NBB;2019 - 2020;Alex Doria;MOG;24;209.2;0;8;43;33;6;9;6;40;206;93;Brazil
Brazilian-NBB;2019 - 2020;Delano Spencer;FAC;10;144.2;5;5;20;13;8;4;0;40;191;91;United States
Brazilian-NBB;2019 - 2020;Gabriel Fernandes;CEA;22;148.2;5;3;15;8;6;8;0;36;193;;Brazil
Brazilian-NBB;2019 - 2020;Leron Black;FLA;11;69.5;5;6;14;19;1;1;0;33;201;100;United States
Brazilian-NBB;2019 - 2020;Gustavo Ruiz;MOG;13;114.8;4;4;23;6;10;5;0;32;191;;Brazil
Brazilian-NBB;2019 - 2020;Leandro Azevedo;PATO;17;159.2;5;6;20;27;13;4;0;31;203;104;Brazil
Brazilian-NBB;2019 - 2020;Pedro Nunes;FLA;20;146.7;2;6;15;24;6;4;0;28;201;87;Brazil
Brazilian-NBB;2019 - 2020;Thiago Carneiro;RIO;17;121.3;2;4;11;13;7;4;0;28;191;;Brazil
Brazilian-NBB;2019 - 2020;Felipe Queiroz;MIN;17;80.5;7;1;17;13;1;0;0;26;201;98;Brazil
Brazilian-NBB;2019 - 2020;Aquiles Ferreira;PATO;16;91.1;4;4;9;15;3;4;1;26;196;89;Brazil
