Data;Dolar_Comercial
13/06/2024;5.373
12/06/2024;5.408
11/06/2024;5.359
10/06/2024;5.355
07/06/2024;5.316
06/06/2024;5.255
05/06/2024;5.298
04/06/2024;5.288
03/06/2024;5.233
31/05/2024;5.257
29/05/2024;5.203
28/05/2024;5.16
27/05/2024;5.172
24/05/2024;5.173
23/05/2024;5.155
22/05/2024;5.154
21/05/2024;5.115
20/05/2024;5.109
17/05/2024;5.104
16/05/2024;5.13
15/05/2024;5.137
14/05/2024;5.131
13/05/2024;5.152
10/05/2024;5.157
09/05/2024;5.144
08/05/2024;5.094
07/05/2024;5.072
06/05/2024;5.074
03/05/2024;5.07
02/05/2024;5.113
30/04/2024;5.19
29/04/2024;5.113
26/04/2024;5.116
25/04/2024;5.165
24/04/2024;5.147
23/04/2024;5.129
22/04/2024;5.174
19/04/2024;5.195
18/04/2024;5.246
17/04/2024;5.235
16/04/2024;5.261
15/04/2024;5.186
12/04/2024;5.125
11/04/2024;5.089
10/04/2024;5.078
09/04/2024;5.009
08/04/2024;5.029
05/04/2024;5.065
04/04/2024;5.048
03/04/2024;5.039
02/04/2024;5.059
01/04/2024;5.065
28/03/2024;5.01
27/03/2024;4.98
26/03/2024;4.984
25/03/2024;4.976
22/03/2024;5
21/03/2024;4.98
20/03/2024;4.972
19/03/2024;5.021
18/03/2024;5.027
15/03/2024;4.995
14/03/2024;4.992
13/03/2024;4.974
12/03/2024;4.973
11/03/2024;4.975
08/03/2024;4.98
07/03/2024;4.936
06/03/2024;4.945
05/03/2024;4.954
04/03/2024;4.947
01/03/2024;4.953
29/02/2024;4.973
28/02/2024;4.971
27/02/2024;4.935
26/02/2024;4.977
23/02/2024;4.988
22/02/2024;4.95
21/02/2024;4.94
20/02/2024;4.93
19/02/2024;4.962
16/02/2024;4.966
15/02/2024;4.969
14/02/2024;4.97
09/02/2024;4.958
08/02/2024;4.991
07/02/2024;4.967
06/02/2024;4.961
05/02/2024;4.981
02/02/2024;4.967
01/02/2024;4.915
31/01/2024;4.947
30/01/2024;4.944
29/01/2024;4.951
26/01/2024;4.912
25/01/2024;4.921
24/01/2024;4.933
23/01/2024;4.956
22/01/2024;4.99
19/01/2024;4.929
18/01/2024;4.934
17/01/2024;4.929
16/01/2024;4.929
15/01/2024;4.865
12/01/2024;4.854
11/01/2024;4.878
10/01/2024;4.894
09/01/2024;4.901
08/01/2024;4.872
05/01/2024;4.872
04/01/2024;4.913
03/01/2024;4.911
02/01/2024;4.912
28/12/2023;4.852
27/12/2023;4.833
26/12/2023;4.826
22/12/2023;4.861
21/12/2023;4.887
20/12/2023;4.901
19/12/2023;4.861
18/12/2023;4.909
15/12/2023;4.944
14/12/2023;4.906
13/12/2023;4.929
12/12/2023;4.965
11/12/2023;4.935
08/12/2023;4.925
07/12/2023;4.911
06/12/2023;4.905
05/12/2023;4.929
04/12/2023;4.949
01/12/2023;4.875
30/11/2023;4.921
29/11/2023;4.889
28/11/2023;4.872
27/11/2023;4.898
24/11/2023;4.897
23/11/2023;4.907
22/11/2023;4.9
21/11/2023;4.901
20/11/2023;4.852
17/11/2023;4.905
16/11/2023;4.868
14/11/2023;4.865
13/11/2023;4.908
10/11/2023;4.911
09/11/2023;4.929
08/11/2023;4.905
07/11/2023;4.869
06/11/2023;4.891
03/11/2023;4.899
01/11/2023;4.976
31/10/2023;5.035
30/10/2023;5.042
27/10/2023;5.015
26/10/2023;4.993
25/10/2023;5
24/10/2023;4.997
23/10/2023;5.021
20/10/2023;5.035
19/10/2023;5.049
18/10/2023;5.056
17/10/2023;5.033
16/10/2023;5.041
13/10/2023;5.092
11/10/2023;5.052
10/10/2023;5.063
09/10/2023;5.135
06/10/2023;5.16
05/10/2023;5.174
04/10/2023;5.151
03/10/2023;5.155
02/10/2023;5.067
29/09/2023;5.029
28/09/2023;5.037
27/09/2023;5.052
26/09/2023;4.99
25/09/2023;4.971
22/09/2023;4.93
21/09/2023;4.931
20/09/2023;4.87
19/09/2023;4.875
18/09/2023;4.853
15/09/2023;4.87
14/09/2023;4.875
13/09/2023;4.916
12/09/2023;4.954
11/09/2023;4.936
08/09/2023;4.985
06/09/2023;4.987
05/09/2023;4.98
04/09/2023;4.934
01/09/2023;4.938
31/08/2023;4.95
30/08/2023;4.865
29/08/2023;4.854
28/08/2023;4.877
25/08/2023;4.872
24/08/2023;4.873
23/08/2023;4.854
22/08/2023;4.937
21/08/2023;4.979
18/08/2023;4.971
17/08/2023;4.982
16/08/2023;4.986
15/08/2023;4.989
14/08/2023;4.97
11/08/2023;4.902
10/08/2023;4.88
09/08/2023;4.908
08/08/2023;4.897
07/08/2023;4.896
04/08/2023;4.869
03/08/2023;4.889
02/08/2023;4.804
01/08/2023;4.791
31/07/2023;4.731
28/07/2023;4.731
27/07/2023;4.743
26/07/2023;4.731
25/07/2023;4.753
24/07/2023;4.735
21/07/2023;4.775
20/07/2023;4.802
19/07/2023;4.785
18/07/2023;4.808
17/07/2023;4.815
14/07/2023;4.794
13/07/2023;4.79
12/07/2023;4.818
11/07/2023;4.858
10/07/2023;4.885
07/07/2023;4.859
06/07/2023;4.926
05/07/2023;4.845
04/07/2023;4.835
03/07/2023;4.804
30/06/2023;4.793
29/06/2023;4.856
28/06/2023;4.844
27/06/2023;4.796
26/06/2023;4.766
23/06/2023;4.781
22/06/2023;4.778
21/06/2023;4.77
20/06/2023;4.792
19/06/2023;4.776
16/06/2023;4.818
15/06/2023;4.804
14/06/2023;4.828
13/06/2023;4.863
12/06/2023;4.866
09/06/2023;4.876
07/06/2023;4.925
06/06/2023;4.913
05/06/2023;4.927
02/06/2023;4.957
01/06/2023;5.013
31/05/2023;5.079
30/05/2023;5.041
29/05/2023;5.012
26/05/2023;4.99
25/05/2023;5.038
24/05/2023;4.952
23/05/2023;4.972
22/05/2023;4.969
19/05/2023;5.001
18/05/2023;4.969
17/05/2023;4.939
16/05/2023;4.939
15/05/2023;4.894
12/05/2023;4.927
11/05/2023;4.943
10/05/2023;4.951
09/05/2023;4.988
08/05/2023;5.014
05/05/2023;4.944
04/05/2023;4.993
03/05/2023;4.991
02/05/2023;5.047
28/04/2023;4.989
27/04/2023;4.983
26/04/2023;5.053
25/04/2023;5.069
24/04/2023;5.04
20/04/2023;5.052
19/04/2023;5.076
18/04/2023;4.975
17/04/2023;4.935
14/04/2023;4.918
13/04/2023;4.927
12/04/2023;4.944
11/04/2023;5.007
10/04/2023;5.07
06/04/2023;5.06
05/04/2023;5.054
04/04/2023;5.087
03/04/2023;5.074
31/03/2023;5.069
30/03/2023;5.101
29/03/2023;5.141
28/03/2023;5.166
27/03/2023;5.211
24/03/2023;5.248
23/03/2023;5.289
22/03/2023;5.218
21/03/2023;5.243
20/03/2023;5.243
17/03/2023;5.274
16/03/2023;5.243
15/03/2023;5.294
14/03/2023;5.256
13/03/2023;5.268
10/03/2023;5.215
09/03/2023;5.134
08/03/2023;5.143
07/03/2023;5.191
06/03/2023;5.166
03/03/2023;5.198
02/03/2023;5.204
01/03/2023;5.196
28/02/2023;5.221
27/02/2023;5.195
24/02/2023;5.206
23/02/2023;5.132
22/02/2023;5.169
17/02/2023;5.162
16/02/2023;5.22
15/02/2023;5.216
14/02/2023;5.201
13/02/2023;5.182
10/02/2023;5.223
09/02/2023;5.27
08/02/2023;5.189
07/02/2023;5.199
06/02/2023;5.176
03/02/2023;5.139
02/02/2023;5.036
01/02/2023;5.09
31/01/2023;5.078
30/01/2023;5.112
27/01/2023;5.111
26/01/2023;5.072
25/01/2023;5.076
24/01/2023;5.147
23/01/2023;5.196
20/01/2023;5.203
19/01/2023;5.175
18/01/2023;5.159
17/01/2023;5.108
16/01/2023;5.151
13/01/2023;5.094
12/01/2023;5.094
11/01/2023;5.186
10/01/2023;5.202
09/01/2023;5.255
06/01/2023;5.243
05/01/2023;5.362
04/01/2023;5.454
03/01/2023;5.448
02/01/2023;5.36
29/12/2022;5.28
28/12/2022;5.253
27/12/2022;5.284
26/12/2022;5.208
23/12/2022;5.164
22/12/2022;5.177
21/12/2022;5.197
20/12/2022;5.208
19/12/2022;5.308
16/12/2022;5.298
15/12/2022;5.322
14/12/2022;5.321
13/12/2022;5.316
12/12/2022;5.325
09/12/2022;5.24
08/12/2022;5.212
07/12/2022;5.21
06/12/2022;5.269
05/12/2022;5.28
02/12/2022;5.222
01/12/2022;5.205
30/11/2022;5.21
29/11/2022;5.291
28/11/2022;5.366
25/11/2022;5.41
24/11/2022;5.312
23/11/2022;5.372
22/11/2022;5.381
21/11/2022;5.311
18/11/2022;5.366
17/11/2022;5.431
16/11/2022;5.384
14/11/2022;5.331
11/11/2022;5.341
10/11/2022;5.397
09/11/2022;5.178
08/11/2022;5.169
07/11/2022;5.155
04/11/2022;5.034
03/11/2022;5.113
01/11/2022;5.112
31/10/2022;5.174
28/10/2022;5.314
27/10/2022;5.299
26/10/2022;5.373
25/10/2022;5.315
24/10/2022;5.289
21/10/2022;5.148
20/10/2022;5.224
19/10/2022;5.272
18/10/2022;5.261
17/10/2022;5.295
14/10/2022;5.328
13/10/2022;5.279
11/10/2022;5.27
10/10/2022;5.183
07/10/2022;5.225
06/10/2022;5.204
05/10/2022;5.174
04/10/2022;5.176
03/10/2022;5.177
30/09/2022;5.379
29/09/2022;5.398
28/09/2022;5.347
27/09/2022;5.38
26/09/2022;5.389
23/09/2022;5.251
22/09/2022;5.113
21/09/2022;5.167
20/09/2022;5.161
19/09/2022;5.163
16/09/2022;5.257
15/09/2022;5.243
14/09/2022;5.18
13/09/2022;5.189
12/09/2022;5.091
09/09/2022;5.15
08/09/2022;5.209
06/09/2022;5.242
05/09/2022;5.153
02/09/2022;5.177
01/09/2022;5.235
31/08/2022;5.202
30/08/2022;5.11
29/08/2022;5.026
26/08/2022;5.074
25/08/2022;5.126
24/08/2022;5.109
23/08/2022;5.1
22/08/2022;5.162
19/08/2022;5.175
18/08/2022;5.174
17/08/2022;5.172
16/08/2022;5.147
15/08/2022;5.093
12/08/2022;5.067
11/08/2022;5.162
10/08/2022;5.093
09/08/2022;5.137
08/08/2022;5.114
05/08/2022;5.168
04/08/2022;5.217
03/08/2022;5.275
02/08/2022;5.28
01/08/2022;5.185
29/07/2022;5.178
28/07/2022;5.161
27/07/2022;5.249
26/07/2022;5.354
25/07/2022;5.374
22/07/2022;5.501
21/07/2022;5.491
20/07/2022;5.461
19/07/2022;5.42
18/07/2022;5.423
15/07/2022;5.407
14/07/2022;5.434
13/07/2022;5.406
12/07/2022;5.438
11/07/2022;5.368
08/07/2022;5.265
07/07/2022;5.344
06/07/2022;5.415
05/07/2022;5.392
04/07/2022;5.326
01/07/2022;5.322
30/06/2022;5.23
29/06/2022;5.196
28/06/2022;5.266
27/06/2022;5.228
24/06/2022;5.258
23/06/2022;5.229
22/06/2022;5.17
21/06/2022;5.151
20/06/2022;5.185
17/06/2022;5.14
15/06/2022;5.025
14/06/2022;5.14
13/06/2022;5.123
10/06/2022;4.981
09/06/2022;4.911
08/06/2022;4.881
07/06/2022;4.871
06/06/2022;4.801
03/06/2022;4.784
02/06/2022;4.794
01/06/2022;4.799
31/05/2022;4.751
30/05/2022;4.751
27/05/2022;4.738
26/05/2022;4.761
25/05/2022;4.811
24/05/2022;4.821
23/05/2022;4.813
20/05/2022;4.869
19/05/2022;4.914
18/05/2022;4.987
17/05/2022;4.942
16/05/2022;5.045
13/05/2022;5.054
12/05/2022;5.146
11/05/2022;5.138
10/05/2022;5.125
09/05/2022;5.156
06/05/2022;5.073
05/05/2022;5.029
04/05/2022;4.911
03/05/2022;4.965
02/05/2022;5.067
29/04/2022;4.948
28/04/2022;4.938
27/04/2022;4.964
26/04/2022;4.99
25/04/2022;4.873
22/04/2022;4.797
20/04/2022;4.625
19/04/2022;4.673
18/04/2022;4.658
14/04/2022;4.692
13/04/2022;4.686
12/04/2022;4.678
11/04/2022;4.683
08/04/2022;4.705
07/04/2022;4.745
06/04/2022;4.72
05/04/2022;4.657
04/04/2022;4.612
01/04/2022;4.669
31/03/2022;4.761
30/03/2022;4.782
29/03/2022;4.761
28/03/2022;4.77
25/03/2022;4.751
24/03/2022;4.827
23/03/2022;4.838
22/03/2022;4.919
21/03/2022;4.952
18/03/2022;5.014
17/03/2022;5.038
16/03/2022;5.105
15/03/2022;5.154
14/03/2022;5.129
11/03/2022;5.052
10/03/2022;5.018
09/03/2022;5.011
08/03/2022;5.056
07/03/2022;5.079
04/03/2022;5.079
03/03/2022;5.024
02/03/2022;5.11
25/02/2022;5.145
24/02/2022;5.117
23/02/2022;5.003
22/02/2022;5.065
21/02/2022;5.106
18/02/2022;5.138
17/02/2022;5.169
16/02/2022;5.128
15/02/2022;5.181
14/02/2022;5.217
11/02/2022;5.226
10/02/2022;5.226
09/02/2022;5.22
08/02/2022;5.255
07/02/2022;5.26
04/02/2022;5.326
03/02/2022;5.293
02/02/2022;5.285
01/02/2022;5.27
31/01/2022;5.303
28/01/2022;5.393
27/01/2022;5.427
26/01/2022;5.407
25/01/2022;5.44
24/01/2022;5.503
21/01/2022;5.457
20/01/2022;5.411
19/01/2022;5.464
18/01/2022;5.556
17/01/2022;5.524
14/01/2022;5.522
13/01/2022;5.519
12/01/2022;5.535
11/01/2022;5.579
10/01/2022;5.672
07/01/2022;5.633
06/01/2022;5.686
05/01/2022;5.663
04/01/2022;5.687
03/01/2022;5.661
30/12/2021;5.575
29/12/2021;5.694
28/12/2021;5.637
27/12/2021;5.636
23/12/2021;5.663
22/12/2021;5.67
21/12/2021;5.737
20/12/2021;5.738
17/12/2021;5.682
16/12/2021;5.675
15/12/2021;5.723
14/12/2021;5.691
13/12/2021;5.673
10/12/2021;5.613
09/12/2021;5.58
08/12/2021;5.538
07/12/2021;5.618
06/12/2021;5.686
03/12/2021;5.677
02/12/2021;5.652
01/12/2021;5.665
30/11/2021;5.647
29/11/2021;5.615
26/11/2021;5.6
25/11/2021;5.563
24/11/2021;5.593
23/11/2021;5.608
22/11/2021;5.59
19/11/2021;5.604
18/11/2021;5.569
17/11/2021;5.526
16/11/2021;5.492
12/11/2021;5.455
11/11/2021;5.398
10/11/2021;5.495
09/11/2021;5.483
08/11/2021;5.549
05/11/2021;5.51
04/11/2021;5.615
03/11/2021;5.595
01/11/2021;5.671
29/10/2021;5.648
28/10/2021;5.628
27/10/2021;5.57
26/10/2021;5.567
25/10/2021;5.546
22/10/2021;5.64
21/10/2021;5.654
20/10/2021;5.547
19/10/2021;5.587
18/10/2021;5.514
15/10/2021;5.46
14/10/2021;5.52
13/10/2021;5.511
11/10/2021;5.532
08/10/2021;5.51
07/10/2021;5.503
06/10/2021;5.488
05/10/2021;5.469
04/10/2021;5.452
01/10/2021;5.363
30/09/2021;5.437
29/09/2021;5.426
28/09/2021;5.43
27/09/2021;5.38
24/09/2021;5.346
23/09/2021;5.308
22/09/2021;5.301
21/09/2021;5.282
20/09/2021;5.351
17/09/2021;5.283
16/09/2021;5.275
15/09/2021;5.242
14/09/2021;5.261
13/09/2021;5.231
10/09/2021;5.266
09/09/2021;5.307
08/09/2021;5.313
06/09/2021;5.175
03/09/2021;5.184
02/09/2021;5.185
01/09/2021;5.174
31/08/2021;5.175
30/08/2021;5.187
27/08/2021;5.196
26/08/2021;5.25
25/08/2021;5.21
24/08/2021;5.259
23/08/2021;5.372
20/08/2021;5.378
19/08/2021;5.416
18/08/2021;5.36
17/08/2021;5.268
16/08/2021;5.286
13/08/2021;5.243
12/08/2021;5.254
11/08/2021;5.228
10/08/2021;5.198
09/08/2021;5.238
06/08/2021;5.241
05/08/2021;5.203
04/08/2021;5.189
03/08/2021;5.183
02/08/2021;5.163
30/07/2021;5.197
29/07/2021;5.077
28/07/2021;5.114
27/07/2021;5.178
26/07/2021;5.175
23/07/2021;5.217
22/07/2021;5.209
21/07/2021;5.183
20/07/2021;5.219
19/07/2021;5.256
16/07/2021;5.12
15/07/2021;5.125
14/07/2021;5.072
13/07/2021;5.171
12/07/2021;5.17
09/07/2021;5.239
08/07/2021;5.254
07/07/2021;5.234
06/07/2021;5.2
05/07/2021;5.083
02/07/2021;5.048
01/07/2021;5.048
30/06/2021;4.973
29/06/2021;4.938
28/06/2021;4.926
25/06/2021;4.952
24/06/2021;4.905
23/06/2021;4.965
22/06/2021;4.964
21/06/2021;5.022
18/06/2021;5.07
17/06/2021;5.024
16/06/2021;5.045
15/06/2021;5.043
14/06/2021;5.072
11/06/2021;5.12
10/06/2021;5.064
09/06/2021;5.07
08/06/2021;5.038
07/06/2021;5.037
04/06/2021;5.035
02/06/2021;5.092
01/06/2021;5.156
31/05/2021;5.225
28/05/2021;5.218
27/05/2021;5.253
26/05/2021;5.309
25/05/2021;5.337
24/05/2021;5.322
21/05/2021;5.348
20/05/2021;5.273
19/05/2021;5.315
18/05/2021;5.246
17/05/2021;5.266
14/05/2021;5.27
13/05/2021;5.299
12/05/2021;5.296
11/05/2021;5.224
10/05/2021;5.231
07/05/2021;5.222
06/05/2021;5.281
05/05/2021;5.366
04/05/2021;5.433
03/05/2021;5.422
30/04/2021;5.434
29/04/2021;5.354
28/04/2021;5.364
27/04/2021;5.465
26/04/2021;5.458
23/04/2021;5.495
22/04/2021;5.462
20/04/2021;5.557
19/04/2021;5.562
16/04/2021;5.586
15/04/2021;5.624
14/04/2021;5.674
13/04/2021;5.701
12/04/2021;5.725
09/04/2021;5.678
08/04/2021;5.573
07/04/2021;5.649
06/04/2021;5.598
05/04/2021;5.672
01/04/2021;5.706
31/03/2021;5.624
30/03/2021;5.747
29/03/2021;5.767
26/03/2021;5.746
25/03/2021;5.667
24/03/2021;5.613
23/03/2021;5.514
22/03/2021;5.513
19/03/2021;5.488
18/03/2021;5.559
17/03/2021;5.583
16/03/2021;5.611
15/03/2021;5.645
12/03/2021;5.564
11/03/2021;5.536
10/03/2021;5.656
09/03/2021;5.789
08/03/2021;5.769
05/03/2021;5.694
04/03/2021;5.663
03/03/2021;5.752
02/03/2021;5.665
01/03/2021;5.599
26/02/2021;5.581
25/02/2021;5.506
24/02/2021;5.433
23/02/2021;5.452
22/02/2021;5.442
19/02/2021;5.407
18/02/2021;5.44
17/02/2021;5.42
12/02/2021;5.378
11/02/2021;5.392
10/02/2021;5.379
09/02/2021;5.382
08/02/2021;5.372
05/02/2021;5.386
04/02/2021;5.454
03/02/2021;5.362
02/02/2021;5.358
01/02/2021;5.451
29/01/2021;5.483
28/01/2021;5.436
27/01/2021;5.397
26/01/2021;5.328
25/01/2021;5.508
22/01/2021;5.472
21/01/2021;5.356
20/01/2021;5.319
19/01/2021;5.35
18/01/2021;5.292
15/01/2021;5.286
14/01/2021;5.203
13/01/2021;5.3
12/01/2021;5.333
11/01/2021;5.491
08/01/2021;5.416
07/01/2021;5.387
06/01/2021;5.283
05/01/2021;5.263
04/01/2021;5.261
30/12/2020;5.186
29/12/2020;5.184
28/12/2020;5.239
23/12/2020;5.199
22/12/2020;5.165
21/12/2020;5.124
18/12/2020;5.087
17/12/2020;5.075
16/12/2020;5.126
15/12/2020;5.089
14/12/2020;5.11
11/12/2020;5.053
10/12/2020;5.037
09/12/2020;5.183
08/12/2020;5.129
07/12/2020;5.082
04/12/2020;5.128
03/12/2020;5.137
02/12/2020;5.245
01/12/2020;5.234
30/11/2020;5.353
27/11/2020;5.329
26/11/2020;5.33
25/11/2020;5.318
24/11/2020;5.385
23/11/2020;5.437
20/11/2020;5.372
19/11/2020;5.312
18/11/2020;5.345
17/11/2020;5.338
16/11/2020;5.432
13/11/2020;5.477
12/11/2020;5.466
11/11/2020;5.414
10/11/2020;5.379
09/11/2020;5.414
06/11/2020;5.388
05/11/2020;5.547
04/11/2020;5.662
03/11/2020;5.751
30/10/2020;5.748
29/10/2020;5.751
28/10/2020;5.743
27/10/2020;5.674
26/10/2020;5.625
23/10/2020;5.628
22/10/2020;5.598
21/10/2020;5.607
20/10/2020;5.598
19/10/2020;5.604
16/10/2020;5.645
15/10/2020;5.612
14/10/2020;5.603
13/10/2020;5.574
09/10/2020;5.532
08/10/2020;5.588
07/10/2020;5.617
06/10/2020;5.6
05/10/2020;5.561
02/10/2020;5.657
01/10/2020;5.652
30/09/2020;5.618
29/09/2020;5.636
28/09/2020;5.635
25/09/2020;5.544
24/09/2020;5.516
23/09/2020;5.577
22/09/2020;5.465
21/09/2020;5.403
18/09/2020;5.367
17/09/2020;5.238
16/09/2020;5.24
15/09/2020;5.286
14/09/2020;5.277
11/09/2020;5.334
10/09/2020;5.316
09/09/2020;5.289
08/09/2020;5.359
04/09/2020;5.306
03/09/2020;5.29
02/09/2020;5.356
01/09/2020;5.388
31/08/2020;5.476
28/08/2020;5.408
27/08/2020;5.569
26/08/2020;5.601
25/08/2020;5.524
24/08/2020;5.599
21/08/2020;5.608
20/08/2020;5.557
19/08/2020;5.523
18/08/2020;5.468
17/08/2020;5.503
14/08/2020;5.43
13/08/2020;5.37
12/08/2020;5.455
11/08/2020;5.405
10/08/2020;5.458
07/08/2020;5.42
06/08/2020;5.354
05/08/2020;5.298
04/08/2020;5.298
03/08/2020;5.331
31/07/2020;5.213
30/07/2020;5.156
29/07/2020;5.17
28/07/2020;5.153
27/07/2020;5.169
24/07/2020;5.209
23/07/2020;5.206
22/07/2020;5.118
21/07/2020;5.197
20/07/2020;5.334
17/07/2020;5.386
16/07/2020;5.325
15/07/2020;5.382
14/07/2020;5.341
13/07/2020;5.372
10/07/2020;5.32
09/07/2020;5.336
08/07/2020;5.345
07/07/2020;5.38
06/07/2020;5.342
03/07/2020;5.315
02/07/2020;5.352
01/07/2020;5.311
30/06/2020;5.44
29/06/2020;5.436
26/06/2020;5.468
25/06/2020;5.324
24/06/2020;5.316
23/06/2020;5.145
22/06/2020;5.268
19/06/2020;5.305
18/06/2020;5.386
17/06/2020;5.265
16/06/2020;5.225
15/06/2020;5.15
12/06/2020;5.059
10/06/2020;4.917
09/06/2020;4.877
08/06/2020;4.871
05/06/2020;4.968
04/06/2020;5.116
03/06/2020;5.068
02/06/2020;5.22
01/06/2020;5.379
29/05/2020;5.34
28/05/2020;5.363
27/05/2020;5.292
26/05/2020;5.34
25/05/2020;5.454
22/05/2020;5.58
21/05/2020;5.574
20/05/2020;5.677
19/05/2020;5.734
18/05/2020;5.714
15/05/2020;5.832
14/05/2020;5.837
13/05/2020;5.915
12/05/2020;5.862
11/05/2020;5.835
08/05/2020;5.748
07/05/2020;5.858
06/05/2020;5.701
05/05/2020;5.597
04/05/2020;5.539
30/04/2020;5.447
29/04/2020;5.357
28/04/2020;5.498
27/04/2020;5.709
24/04/2020;5.671
23/04/2020;5.504
22/04/2020;5.407
20/04/2020;5.306
17/04/2020;5.243
16/04/2020;5.259
15/04/2020;5.236
14/04/2020;5.187
13/04/2020;5.177
09/04/2020;5.1
08/04/2020;5.151
07/04/2020;5.217
06/04/2020;5.302
03/04/2020;5.315
02/04/2020;5.265
01/04/2020;5.26
31/03/2020;5.196
30/03/2020;5.175
27/03/2020;5.058
26/03/2020;5.004
25/03/2020;5.012
24/03/2020;5.092
23/03/2020;5.139
20/03/2020;5.049
19/03/2020;5.099
18/03/2020;5.228
17/03/2020;5.001
16/03/2020;5.03
13/03/2020;4.852
12/03/2020;4.818
11/03/2020;4.734
10/03/2020;4.644
09/03/2020;4.745
06/03/2020;4.629
05/03/2020;4.648
04/03/2020;4.578
03/03/2020;4.51
02/03/2020;4.485
28/02/2020;4.492
27/02/2020;4.47
26/02/2020;4.439
21/02/2020;4.39
20/02/2020;4.386
19/02/2020;4.369
18/02/2020;4.358
17/02/2020;4.326
14/02/2020;4.3
13/02/2020;4.344
12/02/2020;4.347
11/02/2020;4.326
10/02/2020;4.327
07/02/2020;4.319
06/02/2020;4.277
05/02/2020;4.244
04/02/2020;4.257
03/02/2020;4.249
31/01/2020;4.283
30/01/2020;4.261
29/01/2020;4.222
28/01/2020;4.194
27/01/2020;4.205
24/01/2020;4.186
23/01/2020;4.165
22/01/2020;4.177
21/01/2020;4.2
20/01/2020;4.189
17/01/2020;4.161
16/01/2020;4.194
15/01/2020;4.177
14/01/2020;4.129
13/01/2020;4.137
10/01/2020;4.081
09/01/2020;4.087
08/01/2020;4.049
07/01/2020;4.06
06/01/2020;4.071
03/01/2020;4.053
02/01/2020;4.023
